Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024,Salary Credit ABC Corp,,5000.00,5000.00
02-08-2024,ATM Withdrawal,500.00,,4500.00
03-08-2024,UPI Payment to XYZ,200.00,,4300.00
04-08-2024,NEFT Transfer from DEF,,1000.00,5300.00
05-08-2024,Card Payment at Store,150.00,,5150.00
06-08-2024,Mobile Recharge UPI,100.00,,5050.00
07-08-2024,Interest Credit,,50.00,5100.00
08-08-2024,Fuel Purchase Card,300.00,,4800.00
09-08-2024,Online Shopping Amazon,250.00,,4550.00
10-08-2024,Cash Deposit Branch,,2000.00,6550.00
