Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024,Salary Credit ABC Corp 1,0.0,5000.0,5000.0
02-08-2024,ATM Withdrawal,500.0,0.0,4500.0
03-08-2024,UPI Payment to XYZ,200.0,0.0,4300.0
04-08-2024,NEFT Transfer from DEF,0.0,1000.0,5300.0
05-08-2024,Card Payment at Store,150.0,0.0,5150.0
06-08-2024,Mobile Recharge UPI,100.0,0.0,5050.0
07-08-2024,Interest Credit,0.0,50.0,5100.0
08-08-2024,Fuel Purchase Card,300.0,0.0,4800.0
09-08-2024,Online Shopping Amazon,250.0,0.0,4550.0
10-08-2024,Cash Deposit Branch,0.0,2000.0,6550.0
